F148W,F148Wa,F154W,F172M,F169M,N242W,N242Wa,N245M,N263M,N219M,N279N,Name
False,False,True,False,False,False,False,True,True,False,False,NGC_5474
True,False,True,True,True,False,False,False,False,False,False,NGC_0598
False,False,True,True,True,True,False,True,True,True,True,NGC_6822
True,False,False,False,True,False,False,False,True,True,False,NGC_2903
True,False,False,False,False,False,False,False,False,False,False,NGC_2835
True,False,False,False,False,False,False,False,False,False,False,IC2058
False,False,True,False,False,False,False,False,True,False,False,NGC_3511
False,False,True,False,False,False,False,False,False,False,False,NGC_4501
False,False,False,False,False,False,False,False,False,False,False,NGC_1546
True,False,False,False,True,True,False,True,True,False,False,WLM
True,False,True,True,True,False,False,True,True,True,True,NGC_0224
True,False,True,False,True,False,False,True,True,True,True,NGC_1291
False,False,True,False,False,True,False,False,False,False,False,NGC_4476
False,False,True,False,False,False,False,False,True,False,False,NGC_4571
True,False,False,False,False,True,False,False,False,False,False,NGC_2403
False,False,True,False,False,False,False,False,False,False,False,VCC1450
False,False,False,False,True,False,False,True,False,False,False,NGC_0253
True,False,True,True,True,False,False,True,True,True,False,NGC_0300
True,False,False,True,True,False,False,False,True,True,True,NGC_1365
True,False,True,True,True,True,False,True,True,True,True,NGC_0628
True,False,False,False,False,False,False,False,False,False,False,NGC_6946
False,False,False,False,True,False,False,False,False,False,False,NGC_4594
True,False,False,False,False,True,False,False,False,False,False,NGC_1326
True,False,True,True,True,False,False,False,False,True,False,NGC_1317
True,False,False,False,False,False,False,False,False,False,False,NGC_1553
False,False,True,False,False,True,False,True,True,False,False,NGC_1512
True,False,True,True,False,False,False,False,True,True,False,NGC_1566
False,False,True,False,False,True,False,False,False,False,False,NGC_4254
True,False,False,False,False,False,False,False,False,False,False,NGC_3627
True,False,False,False,False,False,False,True,False,True,True,NGC_5128
True,False,False,False,False,True,False,False,False,False,False,NGC_7793
False,False,True,False,True,False,False,True,True,True,True,NGC_1433
True,False,False,True,False,False,False,False,False,False,False,NGC_5457
True,False,False,True,False,False,False,False,False,False,False,NGC_3621
